SortOrder,Repo,Phase,Module,Title,Description,Priority,Labels,Status,Iteration,StartDate,TargetDate
1,ChurchOS-Backend,Phase 0,Prisma,Initialize Prisma project and define schema,"Set up Prisma with PostgreSQL, define all core models (churches, branches, profiles, members, families, services, attendance, transactions, events, messages, pastoral_notes, audit_logs).",High,"prisma,database,backend",Done,Phase 0,2026-07-14,2026-07-14
2,ChurchOS-Backend,Phase 0,Prisma,Run initial Prisma migration and seed data,"Run prisma migrate dev, create seed script with dev churches, branches, members, services, giving categories, and users.",High,"prisma,database,backend",Done,Phase 0,2026-07-15,2026-07-15
3,ChurchOS-Backend,Phase 0,Project Setup,Configure environment variables and validation,"Create .env.example, ConfigModule with Zod validation for all env vars. Fails fast on missing required vars.",High,"setup,backend",Done,Phase 0,2026-07-15,2026-07-15
4,ChurchOS-Backend,Phase 0,Project Setup,Initialize NestJS project with TypeScript strict mode,"Set up NestJS project structure, configure tsconfig, eslint, prettier, and initial module folders.",High,"setup,backend",Done,Phase 0,2026-07-14,2026-07-14
5,ChurchOS-Backend,Phase 0,API,Set up Swagger/OpenAPI documentation,"Install @nestjs/swagger, configure SwaggerModule, set up /api/v1/docs endpoint, add API tags, configure auth bearer token.",High,"api,docs,backend",Done,Phase 0,2026-07-15,2026-07-15
6,ChurchOS-Backend,Phase 0,Prisma,Create PrismaModule and PrismaService for NestJS,"Implement PrismaService extending PrismaClient with onModuleInit/onModuleDestroy lifecycle hooks and transaction support.",High,"prisma,backend",Done,Phase 0,2026-07-14,2026-07-14
7,ChurchOS-Backend,Phase 0,Common,Add global exception filter and response interceptor,"Standardize API responses and errors across all endpoints. Exception filter done, response interceptor pending.",High,"api,backend",In Progress,Phase 0,2026-07-15,2026-07-25
8,ChurchOS-Backend,Phase 0,Common,Add request logging and audit logging middleware,"Implement structured JSON logging and audit log triggers.",Medium,"logging,backend",In Progress,Phase 0,2026-07-21,2026-07-25
9,ChurchOS-Backend,Phase 0,Auth,Create Supabase Auth module and JWT guard,"Implement SupabaseModule, SupabaseService, and SupabaseAuthGuard to validate JWT tokens from Supabase Auth.",High,"auth,supabase,backend",In Progress,Phase 0,2026-07-28,2026-08-01
10,ChurchOS-Backend,Phase 0,Auth,Implement RBAC decorators and guard,"Create @RequirePermissions decorator and PermissionsGuard with Redis-cached permissions.",High,"auth,rbac,backend",In Progress,Phase 0,2026-07-28,2026-08-01
11,ChurchOS-Backend,Phase 0,DevOps,Create Dockerfile for backend service,"Write production-ready Dockerfile with multi-stage build.",Medium,"devops,backend",In Progress,Phase 0,2026-07-28,2026-08-01
12,ChurchOS-Backend,Phase 0,DevOps,Add GitHub Actions CI/CD workflow,"Create workflow for lint, test, build, and deploy on push to main/develop.",Medium,"devops,backend",In Progress,Phase 0,2026-07-28,2026-08-01
13,ChurchOS-Backend,Phase 1,Auth,Implement church registration endpoint,"POST /auth/register creates Supabase user, then creates church, branch, profile via Prisma with church_admin role.",High,"auth,backend",Todo,Phase 1,2026-08-04,2026-08-08
14,ChurchOS-Backend,Phase 1,Auth,Implement MFA setup and verification endpoints,"POST /auth/mfa/setup returns QR code; verify TOTP codes via Supabase Auth.",Medium,"auth,backend",Todo,Phase 1,2026-08-04,2026-08-08
15,ChurchOS-Backend,Phase 1,API,Add Swagger decorators to Auth endpoints,"Add @ApiTags, @ApiOperation, @ApiResponse, @ApiBearerAuth, @ApiProperty decorators to Auth controllers and DTOs.",High,"api,docs,backend",Todo,Phase 1,2026-08-04,2026-08-08
16,ChurchOS-Backend,Phase 1,Members,Implement member CRUD service,"Create MembersService with Prisma: create, update, soft delete, find by id, and list with filters.",High,"members,prisma,backend",Todo,Phase 1,2026-08-11,2026-08-15
17,ChurchOS-Backend,Phase 1,Members,Implement member API endpoints,"Create REST endpoints: GET /members, POST /members, GET /members/:id, PATCH /members/:id, DELETE /members/:id.",High,"members,api,backend",Todo,Phase 1,2026-08-11,2026-08-15
18,ChurchOS-Backend,Phase 1,Members,Implement member search and pagination,"Add full-text search via Prisma $queryRaw, status filters, branch filters, and pagination.",High,"members,prisma,backend",Todo,Phase 1,2026-08-11,2026-08-15
19,ChurchOS-Backend,Phase 1,API,Add Swagger decorators to Members endpoints,"Add @ApiTags, @ApiOperation, @ApiResponse, @ApiBearerAuth, @ApiProperty, @ApiQuery, @ApiParam decorators to Members controllers and DTOs.",High,"api,docs,backend",Todo,Phase 1,2026-08-11,2026-08-15
20,ChurchOS-Backend,Phase 1,Members,Implement CSV bulk import endpoint,"POST /members/bulk-import with validation, dry-run, and error reporting.",Medium,"members,backend",Todo,Phase 1,2026-08-11,2026-08-15
21,ChurchOS-Backend,Phase 1,Members,Implement QR code generation for members,"Generate QR codes encoding member ID + checksum.",Medium,"members,qr,backend",Todo,Phase 1,2026-08-11,2026-08-15
22,ChurchOS-Backend,Phase 1,Members,Implement family management endpoints,"Create families and family_members endpoints with relationship types via Prisma.",Medium,"members,family,prisma,backend",Todo,Phase 1,2026-08-11,2026-08-15
23,ChurchOS-Backend,Phase 1,Attendance,Implement services CRUD,"Create service scheduling endpoints via Prisma.",High,"attendance,prisma,backend",Todo,Phase 1,2026-08-18,2026-08-22
24,ChurchOS-Backend,Phase 1,Attendance,Implement attendance recording endpoints,"POST /attendance and POST /attendance/bulk with duplicate detection via Prisma.",High,"attendance,prisma,backend",Todo,Phase 1,2026-08-18,2026-08-22
25,ChurchOS-Backend,Phase 1,Attendance,Implement attendance summary and trends,"GET /attendance/summary and GET /attendance/trends with charts data via Prisma aggregation.",High,"attendance,prisma,backend",Todo,Phase 1,2026-08-18,2026-08-22
26,ChurchOS-Backend,Phase 1,API,Add Swagger decorators to Attendance endpoints,"Add @ApiTags, @ApiOperation, @ApiResponse, @ApiBearerAuth, @ApiProperty decorators to Attendance controllers and DTOs.",High,"api,docs,backend",Todo,Phase 1,2026-08-18,2026-08-22
27,ChurchOS-Backend,Phase 1,Attendance,Implement visitor attendance recording,"Record visitors without member accounts and auto-create follow-up tasks.",Medium,"attendance,backend",Todo,Phase 1,2026-08-18,2026-08-22
